uni,city,zip,latitude,longitude,admission,act,sat,under,cost,debt
Wells College,Aurora,13026-0500,42.744314,-76.696512,0.565938865,24,1053,525,49800,19000
Loyola University New Orleans,New Orleans,70118-6143,29.936141,-90.120417,0.90247161,25,1135,2734,49791,19218
University of New England,Biddeford,04005-9599,43.458172,-70.385882,0.856845031,24,1073,2217,49671,20225
University of Detroit Mercy,Detroit,48221-3038,42.417168,-83.138369,0.690609279,24,1110,2677,49617,20500
University of Dayton,Dayton,45469,39.73686,-84.173662,0.590127238,27,1194,8305,49540,23250
Lynn University,Boca Raton,33431-5598,26.382777,-80.123851,0.748664605,21,980,1911,49535,11760
Norwich University,Northfield,05663-1035,44.139402,-72.660129,0.657425112,23,1053,2584,49516,19985
Bellarmine University,Louisville,40205-0671,38.219138,-85.7049,0.833954893,25,1120,2499,49508,20000
University of New Haven,West Haven,06516-1916,41.291314,-72.961472,0.808572063,24,1063,4974,49390,21438
University of Tulsa,Tulsa,74104-3189,36.151887,-95.945175,0.402566789,29,1296,3441,49323,20000
